feature,count,prob,Correlation coefficient,pagerank,node_strength
KI_67,500,1.0,0.4464693546195005,0.07185023136477968,0.43449101564820736
Dog-1,500,1.0,0.09149462713892408,0.06005356779230067,0.2849963903492405
ShapeRegularity,500,1.0,0.5579695759236573,0.13075186032344407,0.82459023009628
Ulceration,500,1.0,0.44283426872230364,0.0566877500751926,0.3581867712647891
CD117,500,1.0,0.07842689278903982,0.08190518269064269,0.4438358326847628
MaximumTumorSize,500,1.0,0.7721193884263531,0.11474132087919946,0.7386646024522142
EndoscopicUltrasoundType,500,1.0,0.08452992923887764,0.08320205234957835,0.5502697550412308
BloodFlowSignal,475,0.95,0.03349510997542964,0.07372870091328547,0.4910913321847271
CD34,408,0.816,0.001430810933708948,0.06144697834723002,0.3284750693213469
PDGFR-α,283,0.566,0.05179234321825398,0.04581720780701154,0.22070332957982314
EchoUniformity,217,0.434,0.16460649017832518,0.035532340679695754,0.16473726253666385
SMA,92,0.184,0.17704141541028226,0.020825507331050905,0.08051307704670872
BoundaryClarity,25,0.05,0.12076986366827398,0.025163299209814673,0.099508373771326
GrowthPattern,0,0.0,0.0697428938771638,0.02221261772695173,0.09251313167751887
Echo,0,0.0,0.057087056337863186,0.0336630680406467,0.12578188939467433
OriginLayer,0,0.0,0.07506801706000563,0.03081162665499965,0.10926418386158634
Location,0,0.0,0.043238598206675284,0.019376820052710828,0.07332179338521637
S-100,0,0.0,0.012823430741388865,0.032229867761465095,0.15172483379258134
